Reg_No,Make,Model_1,Model,Variant_1,Variant,Year,Transaction_Year,Sold_Price,Out_Kms,Ownership,City
132560,HONDA,CITY,CITY,1.5 S MT,1.5 S MT,2009,2016,466200,35551,2,BANGALORE
132601,HYUNDAI,GETZ,GETZ,GLS,GLS,2005,2016,145000,59359,1,BANGALORE
132655,SKODA,FABIA,FABIA,AMBIENTE 1.2 MPI,AMBIENTE 1.2 MPI,2011,2016,266400,25231,1,BANGALORE
132701,MARUTI SUZUKI,SWIFT,SWIFT,VDI ABS,VDI ABS,2014,2016,621600,36321,1,BANGALORE
132708,HONDA,CITY,CITY,1.5 V MT,1.5 V MT,2010,2016,444000,88584,1,BANGALORE
132720,TOYOTA,FORTUNER,FORTUNER,3.0 MT,3.0 MT,2013,2016,2331000,28584,1,BANGALORE
132734,SKODA,SUPERB,SUPERB,Elegance 1.8 TSI MT,Elegance 1.8 TSI MT,2015,2016,1803750,6398,1,BANGALORE
132761,HYUNDAI,I20,I20,Asta 1.4 CRDI,Asta 1.4 CRDI,2012,2016,416250,74818,1,BANGALORE
132769,SKODA,RAPID,RAPID,ELEGANCE 1.6 TDI CR MT,ELEGANCE 1.6 TDI CR MT,2012,2016,555000,59478,1,BANGALORE
132778,NISSAN,SUNNY,SUNNY,XL,XL,2012,2016,416250,37349,2,BANGALORE
132797,HONDA,AMAZE,AMAZE,1.5 EX I-DTEC,1.5 EX I-DTEC,2013,2016,471750,60510,1,BANGALORE
133038,TATA,MANZA,MANZA,AURA ABS QUADRAJET,AURA ABS QUADRAJET,2010,2016,135000,59380,2,BANGALORE
133046,MARUTI SUZUKI,SWIFT,SWIFT,VDI,VDI,2009,2016,305250,90045,1,BANGALORE
133095,HONDA,CITY,CITY,1.5 S MT,1.5 S MT,2008,2016,388500,44692,2,BANGALORE
133122,FORD,ECOSPORT,ECOSPORT,TITANIUM 1.5 TDCI,TITANIUM 1.5 TDCI,2014,2016,860250,26552,1,BANGALORE
133157,MARUTI SUZUKI,SWIFT,SWIFT,VDI,VDI,2013,2016,582750,26377,1,BANGALORE
133280,MAHINDRA,SCORPIO,SCORPIO,VLX 2WD,VLX 2WD,2008,2016,416250,105429,2,BANGALORE
133308,CHEVROLET,BEAT,BEAT,PS DIESEL,PS DIESEL,2012,2016,277500,32908,2,BANGALORE
133385,FORD,IKON,IKON,1.3 FLAIR,1.3 FLAIR,2006,2016,105000,12681,2,BANGALORE
133443,FORD,FIGO,FIGO,DURATEC PETROL ZXI 1.2,DURATEC PETROL ZXI 1.2,2010,2016,233100,49196,1,BANGALORE
133458,RENAULT,DUSTER,DUSTER,110 PS RXZ DIESEL,110 PS RXZ DIESEL,2012,2016,860250,40690,1,BANGALORE
133489,HYUNDAI,SANTRO XING XING,SANTRO XING XING,XO,XO,2006,2016,155400,70961,3,BANGALORE
133499,MARUTI SUZUKI,ALTO,ALTO,LXI,LXI,2012,2016,244200,12191,2,BANGALORE
133618,MARUTI SUZUKI,EECO,EECO,5 STR,5 STR,2011,2016,188700,23159,2,BANGALORE
133634,CHEVROLET,BEAT,BEAT,LT PETROL,LT PETROL,2011,2016,199800,79739,1,BANGALORE
133695,HYUNDAI,EON,EON,SPORTZ,SPORTZ,2012,2016,249750,22050,1,BANGALORE
133804,FIAT,PUNTO,PUNTO,EMOTION 1.2,EMOTION 1.2,2011,2016,166500,40855,1,BANGALORE
133999,FORD,FIGO,FIGO,DURATORQ DIESEL EXI 1.4,DURATORQ DIESEL EXI 1.4,2012,2016,377400,34386,1,BANGALORE
134097,HYUNDAI,I10,I10,ASTA 1.2 KAPPA2,ASTA 1.2 KAPPA2,2012,2016,377400,15783,1,BANGALORE
134101,MAHINDRA,VERITO,VERITO,1.5 D4,1.5 D4,2011,2016,188700,62691,1,BANGALORE
134214,TOYOTA,ETIOS,ETIOS,VX,VX,2012,2016,477300,14001,1,BANGALORE
134238,HYUNDAI,ACCENT,ACCENT,GLE,GLE,2010,2016,244200,20192,1,BANGALORE
134288,MARUTI SUZUKI,WAGON R,WAGON R,LXI,LXI,2009,2016,244200,45707,1,BANGALORE
134352,TATA,NANO,NANO,LX,LX,2012,2016,75000,9180,2,BANGALORE
134537,MARUTI SUZUKI,ERTIGA,ERTIGA,ZDI,ZDI,2012,2016,721500,49925,2,BANGALORE
134550,MARUTI SUZUKI,RITZ,RITZ,VXI,VXI,2013,2016,421800,40620,1,BANGALORE
134557,HYUNDAI,GETZ PRIME,GETZ PRIME,1.1 GLE,1.1 GLE,2007,2016,166500,46448,2,BANGALORE
134581,HONDA,CITY,CITY,VX,VX,2014,2016,943500,51412,1,BANGALORE
134629,MARUTI SUZUKI,SWIFT DZIRE,SWIFT DZIRE,VDI,VDI,2011,2016,394050,105288,2,BANGALORE
134666,MAHINDRA,SCORPIO,SCORPIO,SLE,SLE,2014,2016,777000,48658,1,BANGALORE
134832,HYUNDAI,GETZ PRIME,GETZ PRIME,1.5 GVS CRDI,1.5 GVS CRDI,2008,2016,222000,86908,2,BANGALORE
135062,MARUTI SUZUKI,SWIFT DZIRE,SWIFT DZIRE,ZDI,ZDI,2013,2016,621600,15616,1,BANGALORE
135170,MARUTI SUZUKI,SWIFT,SWIFT,LDI,LDI,2007,2016,266400,116350,1,BANGALORE
135176,CHEVROLET,BEAT,BEAT,LS PETROL,LS PETROL,2011,2016,233100,27884,2,BANGALORE
135234,MARUTI SUZUKI,WAGON R,WAGON R,LXI,LXI,2009,2016,233100,65353,1,BANGALORE
135271,TOYOTA,INNOVA,INNOVA,2.0 G1,2.0 G1,2005,2016,333000,106381,2,BANGALORE
135275,FORD,FIGO,FIGO,DURATORQ DIESEL EXI 1.4,DURATORQ DIESEL EXI 1.4,2013,2016,416250,13211,1,BANGALORE
135356,HONDA,CITY,CITY,1.5 V MT,1.5 V MT,2011,2016,599400,35218,1,BANGALORE
135366,HYUNDAI,I20,I20,ASTA 1.4 CRDI,ASTA 1.4 CRDI,2011,2016,366300,84578,1,BANGALORE
135380,HYUNDAI,I10,I10,ERA,ERA,2010,2016,255300,53654,1,BANGALORE
135396,FORD,FIGO,FIGO,DURATEC PETROL TITANIUM 1.2,DURATEC PETROL TITANIUM 1.2,2011,2016,266400,41250,1,BANGALORE
135474,MARUTI SUZUKI,SWIFT,SWIFT,VDI,VDI,2013,2016,582750,32559,1,BANGALORE
135561,TATA,INDICA V2,INDICA V2,DLS,DLS,2006,2016,115000,77724,2,BANGALORE
135618,FORD,FIGO,FIGO,DURATEC PETROL EXI 1.2,DURATEC PETROL EXI 1.2,2014,2016,333000,12273,2,BANGALORE
135705,MARUTI SUZUKI,RITZ,RITZ,ZDI,ZDI,2012,2016,444000,47213,1,BANGALORE
